time_us,input_1_v,input_2_v,expected_sum_v,expected_difference_v
4.792799999999999727e+01,-2.624904162776589556e-01,-1.392865030416880201e-01,-4.017769193193470034e-01,-1.232039132359709355e-01
4.793599999999999994e+01,-2.624721113605076872e-01,-1.408429665311421441e-01,-4.033150778916498314e-01,-1.216291448293655431e-01
4.794400000000000261e+01,-2.624442568682044952e-01,-1.423336347195751916e-01,-4.047778915877796591e-01,-1.201106221486293035e-01
4.795199999999999818e+01,-2.624068538141847706e-01,-1.437578112359596538e-01,-4.061646650501444245e-01,-1.186490425782251168e-01
4.796000000000000085e+01,-2.623599035592913409e-01,-1.451148307710866669e-01,-4.074747343303780078e-01,-1.172450727882046739e-01
4.796799999999999642e+01,-2.623034078117247314e-01,-1.464040593883706720e-01,-4.087074672000954312e-01,-1.158993484233540594e-01
4.797600000000000620e+01,-2.622373686269808268e-01,-1.476248948200038769e-01,-4.098622634469847315e-01,-1.146124738069769500e-01
4.798400000000000176e+01,-2.621617884077766525e-01,-1.487767667483005929e-01,-4.109385551560772454e-01,-1.133850216594760596e-01
4.799199999999999733e+01,-2.620766699039623893e-01,-1.498591370721250593e-01,-4.119358069760874486e-01,-1.122175328318373300e-01
4.800000000000000000e+01,-2.619820162124212315e-01,-1.508715001582673076e-01,-4.128535163706885669e-01,-1.111105160541539238e-01
4.800799999999999557e+01,-2.618778307769576985e-01,-1.518133830776515480e-01,-4.136912138546092743e-01,-1.100644476993061505e-01
4.801600000000000534e+01,-2.617641173881710137e-01,-1.526843458262667486e-01,-4.144484632144377345e-01,-1.090797715619042652e-01
4.802400000000000091e+01,-2.616408801833182141e-01,-1.534839815307160182e-01,-4.151248617140342323e-01,-1.081568986526021958e-01
4.803199999999999648e+01,-2.615081236461630487e-01,-1.542119166382890094e-01,-4.157200402844520859e-01,-1.072962070078740393e-01
4.803999999999999915e+01,-2.613658526068128318e-01,-1.548678110914684658e-01,-4.162336636982812976e-01,-1.064980415153443660e-01
4.804799999999999471e+01,-2.612140722415435823e-01,-1.554513584867892595e-01,-4.166654307283328418e-01,-1.057627137547543228e-01
4.805600000000000449e+01,-2.610527880726101757e-01,-1.559622862179759206e-01,-4.170150742905860963e-01,-1.050905018546342551e-01
4.806400000000000006e+01,-2.608820059680470038e-01,-1.564003556032916298e-01,-4.172823615713386336e-01,-1.044816503647553740e-01
4.807200000000000273e+01,-2.607017321414531463e-01,-1.567653619970396928e-01,-4.174670941384928113e-01,-1.039363701444134536e-01
4.807999999999999829e+01,-2.605119731517675508e-01,-1.570571348851623195e-01,-4.175691080369298702e-01,-1.034548382666052313e-01
4.808800000000000097e+01,-2.603127359030291132e-01,-1.572755379649012353e-01,-4.175882738679303485e-01,-1.030371979381278780e-01
4.809600000000000364e+01,-2.601040276441261567e-01,-1.574204692084678336e-01,-4.175244968525939626e-01,-1.026835584356583231e-01
4.810399999999999920e+01,-2.598858559685333636e-01,-1.574918609107072986e-01,-4.173777168792406345e-01,-1.023939950578260649e-01
4.811200000000000188e+01,-2.596582288140337758e-01,-1.574896797207281651e-01,-4.171479085347619131e-01,-1.021685490933056106e-01
4.811999999999999744e+01,-2.594211544624320798e-01,-1.574139266574811347e-01,-4.168350811199131867e-01,-1.020072278049509451e-01
4.812800000000000011e+01,-2.591746415392514047e-01,-1.572646371092835671e-01,-4.164392786485349718e-01,-1.019100044299678376e-01
4.813600000000000279e+01,-2.589186990134202948e-01,-1.570418808172876768e-01,-4.159605798307079993e-01,-1.018768181961326180e-01
4.814399999999999835e+01,-2.586533361969472478e-01,-1.567457618429006216e-01,-4.153990980398478694e-01,-1.019075743540466261e-01
4.815200000000000102e+01,-2.583785627445799871e-01,-1.563764185191718337e-01,-4.147549812637518207e-01,-1.020021442254081534e-01
4.815999999999999659e+01,-2.580943886534562970e-01,-1.559340233861703506e-01,-4.140284120396266476e-01,-1.021603652672859464e-01
4.816799999999999926e+01,-2.578008242627385926e-01,-1.554187831103819584e-01,-4.132196073731205788e-01,-1.023820411523566343e-01
4.817600000000000193e+01,-2.574978802532381650e-01,-1.548309383881643353e-01,-4.123288186414024725e-01,-1.026669418650738297e-01
4.818399999999999750e+01,-2.571855676470281016e-01,-1.541707638333046915e-01,-4.113563314803327930e-01,-1.030148038137234101e-01
4.819200000000000017e+01,-2.568638978070394430e-01,-1.534385678487331095e-01,-4.103024656557725525e-01,-1.034253299583063335e-01
4.820000000000000284e+01,-2.565328824366508997e-01,-1.526346924824510398e-01,-4.091675749191019396e-01,-1.038981899541998599e-01
4.820800000000000551e+01,-2.561925335792598069e-01,-1.517595132677408976e-01,-4.079520468470007044e-01,-1.044330203115189093e-01
4.821600000000000108e+01,-2.558428636178474158e-01,-1.508134390477405551e-01,-4.066563026655879431e-01,-1.050294245701068607e-01
4.822399999999999665e+01,-2.554838852745252020e-01,-1.497969117844387132e-01,-4.052807970589639153e-01,-1.056869734900864888e-01
4.823199999999999932e+01,-2.551156116100732896e-01,-1.487104063522212694e-01,-4.038260179622945589e-01,-1.064052052578520202e-01
4.824000000000000199e+01,-2.547380560234667746e-01,-1.475544303160334914e-01,-4.022924863395002659e-01,-1.071836257074332832e-01
4.824800000000000466e+01,-2.543512322513848956e-01,-1.463295236942538935e-01,-4.006807559456387891e-01,-1.080217085571310021e-01
4.825600000000000023e+01,-2.539551543677149859e-01,-1.450362587064440156e-01,-3.989914130741589737e-01,-1.089188956612709702e-01
4.826399999999999579e+01,-2.535498367830372191e-01,-1.436752395060188758e-01,-3.972250762890561226e-01,-1.098745972770183432e-01
4.827199999999999847e+01,-2.531352942441015830e-01,-1.422471018980130675e-01,-3.953823961421146782e-01,-1.108881923460885155e-01
4.828000000000000114e+01,-2.527115418332928631e-01,-1.407525130420788917e-01,-3.934640548753717271e-01,-1.119590287912139714e-01
4.828800000000000381e+01,-2.522785949680784734e-01,-1.391921711408021234e-01,-3.914707661088805968e-01,-1.130864238272763500e-01
4.829599999999999937e+01,-2.518364694004516791e-01,-1.375668051135431891e-01,-3.894032745139948681e-01,-1.142696642869084900e-01
4.830399999999999494e+01,-2.513851812163544475e-01,-1.358771742559180540e-01,-3.872623554722725014e-01,-1.155080069604363935e-01
4.831199999999999761e+01,-2.509247468350943033e-01,-1.341240678850905144e-01,-3.850488147201848177e-01,-1.168006789500037890e-01
4.832000000000000028e+01,-2.504551830087482500e-01,-1.323083049710398473e-01,-3.827634879797880973e-01,-1.181468780377084027e-01
4.832800000000000296e+01,-2.499765068215493991e-01,-1.304307337539760969e-01,-3.804072405755254960e-01,-1.195457730675733021e-01
4.833599999999999852e+01,-2.494887356892700747e-01,-1.284922313480813816e-01,-3.779809670373514563e-01,-1.209965043411886931e-01
4.834400000000000119e+01,-2.489918873585834080e-01,-1.264937033317604653e-01,-3.754855906903438734e-01,-1.224981840268229427e-01
4.835200000000000387e+01,-2.484859799064225161e-01,-1.244360833246095782e-01,-3.729220632310321082e-01,-1.240498965818129379e-01
4.835999999999999943e+01,-2.479710317393185037e-01,-1.223203325512461775e-01,-3.702913642905646951e-01,-1.256506991880723123e-01
4.836800000000000210e+01,-2.474470615927324979e-01,-1.201474393922930400e-01,-3.675945009850255518e-01,-1.272996222004394440e-01
4.837599999999999767e+01,-2.469140885303760802e-01,-1.179184189226539781e-01,-3.648325074530300860e-01,-1.289956696077221021e-01
4.838400000000000034e+01,-2.463721319435131230e-01,-1.156343124372883613e-01,-3.620064443808014842e-01,-1.307378195062247617e-01
4.839200000000000301e+01,-2.458212115502594886e-01,-1.132961869648077130e-01,-3.591173985150671877e-01,-1.325250245854517894e-01
4.839999999999999858e+01,-2.452613473948610512e-01,-1.109051347689798961e-01,-3.561664821638409473e-01,-1.343562126258811551e-01
