time_us,aligned_input_v,captured_output_v
9.871200000000000330e+01,-7.435677639426116481e-02,-7.470699999999999563e-02
9.871999999999999886e+01,-6.910380507556290741e-02,-6.994599999999999429e-02
9.872799999999999443e+01,-6.403044733091617369e-02,-6.384299999999999697e-02
9.873600000000000421e+01,-5.914406353449456338e-02,-6.005900000000000127e-02
9.874399999999999977e+01,-5.445166174003823051e-02,-5.517600000000000282e-02
9.875200000000000955e+01,-4.995988495921536293e-02,-4.919400000000000162e-02
9.875999999999999091e+01,-4.567499910673759184e-02,-4.650900000000000173e-02
9.876800000000000068e+01,-4.160288163403841333e-02,-4.284700000000000314e-02
9.877600000000001046e+01,-3.774901087248861559e-02,-3.942899999999999877e-02
9.878399999999999181e+01,-3.411845610534768036e-02,-3.479000000000000148e-02
9.879200000000000159e+01,-3.071586838684666268e-02,-3.222699999999999870e-02
9.879999999999999716e+01,-2.754547212487544472e-02,-2.941900000000000071e-02
9.880800000000000693e+01,-2.461105744287328187e-02,-2.661099999999999924e-02
9.881600000000000250e+01,-2.191597333469001360e-02,-2.368200000000000166e-02
9.882399999999999807e+01,-1.946312162503400708e-02,-2.050799999999999845e-02
9.883200000000000784e+01,-1.725495174641522925e-02,-1.770000000000000046e-02
9.883999999999998920e+01,-1.529345634221529644e-02,-1.745599999999999929e-02
9.884799999999999898e+01,-1.358016770383830424e-02,-1.452600000000000072e-02
9.885600000000000875e+01,-1.211615504848229281e-02,-1.354999999999999954e-02
9.886399999999999011e+01,-1.090202264245128047e-02,-1.306200000000000069e-02
9.887199999999999989e+01,-9.937908773505121571e-03,-1.184100000000000083e-02
9.887999999999999545e+01,-9.223485574034746837e-03,-1.220700000000000084e-02
9.888800000000000523e+01,-8.757959695450075188e-03,-1.013200000000000038e-02
9.889600000000000080e+01,-8.540073832500310463e-03,-1.000999999999999980e-02
9.890399999999999636e+01,-8.568109094781358945e-03,-1.171900000000000025e-02
9.891200000000000614e+01,-8.839888221063303686e-03,-1.061999999999999923e-02
9.892000000000000171e+01,-9.352779630592385901e-03,-1.171900000000000025e-02
9.892799999999999727e+01,-1.010370230397341848e-02,-1.135300000000000024e-02
9.893600000000000705e+01,-1.108913148466787735e-02,-1.428199999999999956e-02
9.894400000000000261e+01,-1.230510519081398808e-02,-1.611299999999999885e-02
9.895199999999999818e+01,-1.374723152531309028e-02,-1.635700000000000001e-02
9.896000000000000796e+01,-1.541069677101345424e-02,-1.928699999999999859e-02
9.896800000000000352e+01,-1.729027425610801805e-02,-1.904300000000000090e-02
9.897599999999999909e+01,-1.938033397355502785e-02,-2.270499999999999949e-02
