time_us,captured_v
3.983200000000000074e+01,2.795399999999999968e-02
3.983999999999999631e+01,-2.197000000000000168e-03
3.984799999999999898e+01,-4.028000000000000330e-03
3.985600000000000165e+01,3.344699999999999757e-02
3.986400000000000432e+01,2.014200000000000018e-02
3.987199999999999989e+01,3.137199999999999711e-02
3.987999999999999545e+01,5.859400000000000025e-02
3.988799999999999812e+01,2.917499999999999954e-02
3.989600000000000080e+01,6.164599999999999941e-02
3.990400000000000347e+01,6.347700000000000564e-02
3.991199999999999903e+01,6.689499999999999613e-02
3.991999999999999460e+01,1.135250000000000009e-01
3.992800000000000438e+01,5.017100000000000032e-02
3.993599999999999994e+01,3.527799999999999686e-02
3.994400000000000261e+01,4.638699999999999768e-02
3.995199999999999818e+01,3.418000000000000031e-03
3.995999999999999375e+01,-3.466799999999999743e-02
3.996800000000000352e+01,-6.713900000000000423e-02
3.997599999999999909e+01,-5.175799999999999845e-02
3.998400000000000176e+01,-6.640600000000000669e-02
3.999199999999999733e+01,-1.068120000000000042e-01
4.000000000000000000e+01,-7.666000000000000592e-02
4.000800000000000267e+01,-7.324200000000000155e-02
4.001599999999999824e+01,-9.997599999999999543e-02
4.002400000000000091e+01,-3.845200000000000007e-02
4.003199999999999648e+01,3.112799999999999942e-02
4.004000000000000625e+01,4.235799999999999982e-02
4.004800000000000182e+01,6.970200000000000007e-02
4.005599999999999739e+01,4.492199999999999666e-02
4.006400000000000006e+01,8.911000000000000518e-03
4.007199999999999562e+01,3.479000000000000148e-02
4.008000000000000540e+01,4.907199999999999757e-02
4.008800000000000097e+01,6.616199999999999859e-02
4.009599999999999653e+01,-1.831100000000000089e-02
4.010399999999999920e+01,-9.289600000000000635e-02
4.011199999999999477e+01,-1.054689999999999933e-01
4.012000000000000455e+01,-1.525880000000000014e-01
4.012800000000000011e+01,-1.284180000000000044e-01
4.013600000000000279e+01,-6.457499999999999352e-02
4.014399999999999835e+01,-3.662100000000000077e-02
4.015200000000000102e+01,-2.954100000000000129e-02
4.016000000000000369e+01,-2.941900000000000071e-02
4.016799999999999926e+01,-3.661999999999999891e-03
4.017600000000000193e+01,1.867699999999999916e-02
4.018399999999999750e+01,2.868700000000000069e-02
4.019200000000000017e+01,1.008300000000000030e-01
4.020000000000000284e+01,1.689450000000000118e-01
4.020799999999999841e+01,1.885989999999999889e-01
4.021600000000000108e+01,1.274409999999999987e-01
4.022399999999999665e+01,6.054699999999999666e-02
4.023199999999999932e+01,9.216299999999999493e-02
4.024000000000000199e+01,1.035159999999999969e-01
4.024799999999999756e+01,1.048580000000000068e-01
4.025600000000000023e+01,1.063230000000000008e-01
4.026400000000000290e+01,4.699699999999999711e-02
4.027200000000000557e+01,9.154999999999999943e-03
4.028000000000000114e+01,-3.430199999999999916e-02
4.028799999999999670e+01,-2.686000000000000019e-03
4.029599999999999937e+01,6.604000000000000148e-02
4.030400000000000205e+01,6.811499999999999500e-02
4.031200000000000472e+01,1.120609999999999939e-01
4.032000000000000028e+01,8.239699999999999802e-02
4.032799999999999585e+01,5.078099999999999975e-02
4.033599999999999852e+01,1.102289999999999937e-01
4.034400000000000119e+01,1.147460000000000008e-01
4.035200000000000387e+01,1.231690000000000007e-01
4.035999999999999943e+01,1.187740000000000046e-01
4.036799999999999500e+01,8.691400000000000514e-02
4.037599999999999767e+01,5.444299999999999834e-02
4.038400000000000034e+01,-6.104000000000000051e-03
4.039200000000000301e+01,-4.211399999999999866e-02
4.039999999999999858e+01,-1.403800000000000013e-02
4.040799999999999415e+01,-5.761700000000000155e-02
4.041600000000000392e+01,-1.243900000000000006e-01
4.042399999999999949e+01,-1.457519999999999927e-01
4.043200000000000216e+01,-1.525880000000000014e-01
4.043999999999999773e+01,-1.158450000000000035e-01
4.044800000000000040e+01,-1.268309999999999993e-01
4.045600000000000307e+01,-1.147460000000000008e-01
4.046399999999999864e+01,-8.532700000000000007e-02
4.047200000000000131e+01,-1.242680000000000035e-01
4.047999999999999687e+01,-1.096189999999999942e-01
4.048799999999999955e+01,-8.947800000000000198e-02
4.049600000000000222e+01,-5.749499999999999750e-02
4.050399999999999778e+01,-9.289600000000000635e-02
4.051200000000000045e+01,-1.762700000000000100e-01
4.051999999999999602e+01,-8.740199999999999358e-02
4.052800000000000580e+01,-6.518599999999999395e-02
4.053600000000000136e+01,-3.845200000000000007e-02
4.054399999999999693e+01,5.395500000000000296e-02
4.055199999999999960e+01,4.797400000000000275e-02
4.055999999999999517e+01,5.590799999999999936e-02
4.056800000000000495e+01,3.649899999999999672e-02
4.057600000000000051e+01,9.020999999999999852e-02
4.058400000000000318e+01,1.483150000000000024e-01
4.059199999999999875e+01,5.480999999999999761e-02
4.059999999999999432e+01,7.397499999999999909e-02
4.060800000000000409e+01,9.643599999999999395e-02
4.061599999999999966e+01,-2.808000000000000166e-03
4.062400000000000233e+01,-2.612300000000000039e-02
4.063199999999999790e+01,-1.879899999999999974e-02
4.064000000000000057e+01,-6.225999999999999764e-03
4.064800000000000324e+01,-1.843300000000000147e-02
4.065599999999999881e+01,-2.209500000000000006e-02
4.066400000000000148e+01,2.038600000000000134e-02
4.067199999999999704e+01,-3.137199999999999711e-02
4.067999999999999972e+01,-1.477099999999999941e-02
4.068800000000000239e+01,6.213400000000000173e-02
4.069599999999999795e+01,5.981399999999999911e-02
4.070400000000000063e+01,7.397499999999999909e-02
4.071199999999999619e+01,5.664099999999999691e-02
4.072000000000000597e+01,4.821799999999999697e-02
4.072800000000000153e+01,7.922400000000000275e-02
4.073599999999999710e+01,2.502400000000000110e-02
